Name,smiles
Molecule_232,COc1cc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
Molecule_233,O=C1NC(=O)C(c2cc(Cl)ccc2S(=O)(=O)NCCCc2ccccc2)N1
Molecule_234,CCCc1cc2c(c(Br)c1O)CCO2
Molecule_235,ONCC12CC3CC(CC(C3)C1)C2
Molecule_236,CC/C(=C(\c1ccccc1)c1cccc(OC(C)=O)c1)c1ccccc1
Molecule_237,O=C(C[C@@H](Cc1cccc(O)c1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO
Molecule_238,COc1cc(C(C)=O)ccc1OCCCN1CCC(C(O)(c2ccccc2)c2ccc(F)cc2)CC1
Molecule_239,O=C(CCl)NCCCl
Molecule_240,Cc1ccc(C)n1Nc1ccc(N2CCC(O)CC2)nn1
Molecule_241,CCOC(=O)/C(C#N)=C\Nc1cccc(C(=O)OCC)c1
Molecule_242,NCC(Cc1ccccc1)c1c[nH]cn1
Molecule_243,CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)ccc1OC(C(=O)O)c1ccccc1
Molecule_244,CCCC1=C(C(=O)OCC)C(c2cccc(C)c2)NC(=O)N1
Molecule_245,O=C(/C=C/c1ccc(Br)cc1)c1ccc(O)cc1
Molecule_246,CC[C@H](COc1nc(N)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)c1ccccc1
Molecule_247,O=C(O)C1CC2CC(CCc3nnn[nH]3)CCC2CN1
Molecule_248,Cc1nonc1S(N)(=O)=O
Molecule_249,CCN1CCCC(c2cccc(O)c2)C1
Molecule_250,O=C1C(NCc2ccc3c(c2)OCO3)=CC2=NCCc3c[nH]c1c32
Molecule_251,N#CCCCOc1ccc(OCc2cccc(Cl)c2)cc1
Molecule_252,COc1ccc(/C=N/NC(=O)Nc2cccc3ccccc23)cc1
Molecule_253,CC(C)Oc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1
Molecule_254,O=C(CSCCN1C(=O)CCC1=O)Nc1ccccc1
Molecule_255,Cc1ccc(Sc2cncc3sc(C(=O)NCCCN4CCOCC4)cc23)cc1
Molecule_256,CCCN(C)/N=N/c1ccc(C(=O)O)cc1
Molecule_257,CCCCOCCn1c(N2CCCN(C)CC2)nc2ccccc21
Molecule_258,O=C(O)CCC/C=C\C[C@H]1[C@@H]2CCC(C2)[C@@H]1NS(=O)(=O)c1cccc2ccccc12
Molecule_259,Nc1nc(N)c(CCCCc2csc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)c2)c(O)n1
Molecule_260,CC(=N)N1CC[C@H](Oc2ccc([C@@H](Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1
Molecule_261,Nc1nc(N)c2c(CSc3cccc4ccccc34)c[nH]c2n1
Molecule_262,CC/C(=C(\Cc1ccccc1)c1ccccc1)c1ccc(OCN2CCCCC2)cc1
Molecule_263,OCCN(CCO)CC(O)(c1ccccc1)c1ccccc1
Molecule_264,C[C@@H]1[C@@H](NC(=O)[C@@H](C)N)CN1c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1
Molecule_265,OCC1NCC(O)C(O)C1O
Molecule_266,CCCCCCCCC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
Molecule_267,COc1ccc(C(=O)N2N=C(c3cc(Br)ccc3O)C[C@H]2c2ccc(C)cc2)cc1
Molecule_268,NCc1cc(Cl)cc(Cl)c1
Molecule_269,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)N(O)c1ccccc1
Molecule_270,CCCCCCC/N=c1\c(O)c(O)\c1=N/c1ccc(C#N)cc1
Molecule_271,CC1CC/C(=N\Nc2ccccc2C(F)(F)F)c2ncc(C(=O)O)c(=O)n21
Molecule_272,O=C(NCCSCc1ccccc1Cl)c1ccccc1Cl
Molecule_273,Cc1cn([C@H]2CO[C@@H](COC(=O)[C@H](N)C(C)C)O2)c(=O)[nH]c1=O
Molecule_274,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CCC2)CC(C)N1
Molecule_275,CC#CCOc1ccc(S(=O)(=O)N(C)c2c(C)cccc2C(=O)NO)cc1
Molecule_276,CC1(C)OC(/C=C/c2ccoc2)=CC1=O
Molecule_277,COc1nc(Br)cnc1NS(=O)(=O)c1cccc2ccccc12
Molecule_278,NCCN(C(=O)c1cc(Cl)cc(Cl)c1)c1ccc(Cl)cc1
Molecule_279,O=C1Nc2ccc(Cl)cc2C(OCC(F)(F)C(F)(F)F)(C(F)(F)F)O1
Molecule_280,CCCCCC(O)c1cccc(OCc2cccc(C(=O)OC)n2)c1
Molecule_281,Cn1cnc(S(=O)(=O)Nc2cccc(C(c3c(O)c4c(oc3=O)CCCCCC4)C3CC3)c2)c1
Molecule_282,CNC1CC2CCC1(C)C2(C)C
Molecule_283,O=C1NC(=O)C(CC#Cc2ccc(Cl)cc2)(S(=O)(=O)c2ccc(F)cc2)S1
Molecule_284,O=C(CCC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1
